docid,words,ner_tags,text,labels
524535,"['Le' 'diagnostic' 'de' 'la' 'maladie' 'coronarienne' 'au' 'moyen' ""d'""
 'une' 'analyse' 'quantitative' 'des' 'résultats' 'de' ""l'"" 'épreuve' ""d'""
 'effort' '.']",[0 2 0 0 1 3 0 0 0 0 2 0 0 0 0 0 2 2 2 0],Le diagnostic de la maladie coronarienne au moyen d' une analyse quantitative des résultats de l' épreuve d' effort .,"['O', 'PROC', 'O', 'O', 'DISO', 'ANAT', 'O', 'O', 'O', 'O', 'PROC', 'O', 'O', 'O', 'O', 'O', 'PROC', 'PROC', 'PROC', 'O']"
135048,"['Interet' 'de' ""l'"" 'anesthesie' 'generale' 'dans' 'les' 'examens' 'endo'
 '-' 'bronchiques' 'chez' ""l'"" 'enfant']",[0 0 0 2 0 0 0 2 2 2 2 0 0 4],Interet de l' anesthesie generale dans les examens endo - bronchiques chez l' enfant,"['O', 'O', 'O', 'PROC', 'O', 'O', 'O', 'PROC', 'PROC', 'PROC', 'PROC', 'O', 'O', 'LIVB']"
5378686,"['Cycle' 'évolutif' ""d'"" 'un' 'Dicheilonematinae' ',' 'Serratospiculum'
 'tendo' ',' 'filaire' 'parasite' 'du' 'faucon' '.']",[0 0 0 0 0 0 4 4 0 4 4 0 4 0],"Cycle évolutif d' un Dicheilonematinae , Serratospiculum tendo , filaire parasite du faucon .","['O', 'O', 'O', 'O', 'O', 'O', 'LIVB', 'LIVB', 'O', 'LIVB', 'LIVB', 'O', 'LIVB', 'O']"
14156591,"['UTILISATION' 'PER' ""ET'"" 'ÉVENTUELLEMENT' 'POST' '-' 'OPÉRATOIRE' 'DES'
 '""' 'RESPIRATEURS' '""' '.' 'CONTROLES' 'BIOLOGIQUES' '.']",[0 0 0 0 0 0 0 0 0 9 0 0 6 6 0],"UTILISATION PER ET' ÉVENTUELLEMENT POST - OPÉRATOIRE DES "" RESPIRATEURS "" . CONTROLES BIOLOGIQUES .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OTHER', 'O', 'O', 'PHYS', 'PHYS', 'O']"
5366591,"['Considérations' 'sur' ""l'"" 'urgence' 'et' 'la' 'consultation' 'externe'
 'en' 'psychiatrie' 'à' ""l'"" 'hôpital' 'général' '.']",[ 0  0  0  7  0  0  2  0  0  0  0  0 10  0  0],Considérations sur l' urgence et la consultation externe en psychiatrie à l' hôpital général .,"['O', 'O', 'O', 'OTHER', 'O', 'O', 'PROC', 'O', 'O', 'O', 'O', 'O', 'OTHER', 'O', 'O']"
5821314,['Le' 'syndrome' 'de' 'Dubin' '-' 'Johnson' '.'],[0 1 0 0 0 0 0],Le syndrome de Dubin - Johnson .,"['O', 'DISO', 'O', 'O', 'O', 'O', 'O']"
9885749,"['Un' 'nouveau' 'regard' 'sur' 'la' 'dyslexie' 'dysorthographie' '.'
 'Plaidoyer' 'pour' 'une' 'reconnaissance' 'précoce' 'de' 'ce' 'handicap'
 '.']",[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0],Un nouveau regard sur la dyslexie dysorthographie . Plaidoyer pour une reconnaissance précoce de ce handicap .,"['O', 'O', 'O', 'O', 'O', 'DISO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'DISO', 'O']"
13634681,"['Une' 'observation' ""d'"" 'un' 'cas' ""d'"" 'association' 'ulcus'
 'gastrique' 'et' 'psoriasis' '.']",[0 2 0 0 0 0 0 1 3 0 1 0],Une observation d' un cas d' association ulcus gastrique et psoriasis .,"['O', 'PROC', 'O', 'O', 'O', 'O', 'O', 'DISO', 'ANAT', 'O', 'DISO', 'O']"
4138436,"['Etude' 'expérimentale' 'du' 'L' '5818' 'Labaz' ',' 'utilisé' 'comme'
 'vasoconstricteur' 'en' 'instillation' 'nasale']",[2 0 0 5 5 0 0 0 0 5 0 2 3],"Etude expérimentale du L 5818 Labaz , utilisé comme vasoconstricteur en instillation nasale","['PROC', 'O', 'O', 'CHEM', 'CHEM', 'O', 'O', 'O', 'O', 'CHEM', 'O', 'PROC', 'ANAT']"
11965117,"['Hémangiomes' 'choroïdiens' 'circonscrits' 'traités' 'par'
 'photocoagulation' 'au' 'laser' 'Argon' '.']",[1 1 0 0 0 2 0 9 0 0],Hémangiomes choroïdiens circonscrits traités par photocoagulation au laser Argon .,"['DISO', 'DISO', 'O', 'O', 'O', 'PROC', 'O', 'OTHER', 'O', 'O']"
4672049,"['La' 'valeur' 'comparée' 'de' 'la' 'L' '-' 'Dopa' ',' 'de' ""l'""
 'amantadie' ',' 'des' 'anticholinegiques' 'et' 'de' 'leurs'
 'associations' 'dans' 'les' 'syndromes' 'parkinsoniens' '.']",[ 0  0  0  0  0  5  5  5  0  0  0  5  0  0  5  0  0  0 10  0  0  1  0  0],"La valeur comparée de la L - Dopa , de l' amantadie , des anticholinegiques et de leurs associations dans les syndromes parkinsoniens .","['O', 'O', 'O', 'O', 'O', 'CHEM', 'CHEM', 'CHEM', 'O', 'O', 'O', 'CHEM', 'O', 'O', 'CHEM', 'O', 'O', 'O', 'OTHER', 'O', 'O', 'DISO', 'O', 'O']"
12773918,"[""L'"" 'hyperstimulation' 'ovarienne' ':' 'prévention' 'et' 'traitement'
 '.']",[0 1 1 0 2 0 2 0],L' hyperstimulation ovarienne : prévention et traitement .,"['O', 'DISO', 'DISO', 'O', 'PROC', 'O', 'PROC', 'O']"
14378799,"['Le' 'blé' 'et' 'le' 'maïs' 'dans' ""l'"" 'alimentation' '.']",[0 4 0 0 4 0 0 0 0],Le blé et le maïs dans l' alimentation .,"['O', 'LIVB', 'O', 'O', 'LIVB', 'O', 'O', 'O', 'O']"
290019,['Etude' 'critique' 'de' 'la' 'lacorhinostomie' '.'],[0 0 0 0 0 0],Etude critique de la lacorhinostomie .,"['O', 'O', 'O', 'O', 'O', 'O']"
11038412,['La' 'stratification' 'dans' 'tous' 'les' 'sens' 'du' 'terme' '.'],[0 0 0 0 0 0 0 0 0],La stratification dans tous les sens du terme .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
6415505,"['Diverticules' 'et' 'kystes' 'arachnoïdiens' 'rachidiens' 'intraduraux'
 '.' '6' 'observations' '.']",[1 0 1 3 3 3 0 0 2 0],Diverticules et kystes arachnoïdiens rachidiens intraduraux . 6 observations .,"['DISO', 'O', 'DISO', 'ANAT', 'ANAT', 'ANAT', 'O', 'O', 'PROC', 'O']"
345_2_0,"['EMEA' '/' 'H' '/' 'C' '/' '122' 'Recommandations' 'standard' 'Comme'
 'la' 'lépirudine' 'est' 'excrétée' 'et' 'métabolisée' 'en' 'quasi' '-'
 'totalité' 'par' 'le' 'rein' '(' 'voir' 'également' 'la' 'rubrique' '5'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 5 0 6 0 6 0 0 0 0 0 0 3 0 0 0 0 0 0 0],EMEA / H / C / 122 Recommandations standard Comme la lépirudine est excrétée et métabolisée en quasi - totalité par le rein ( voir également la rubrique 5 .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'CHEM', 'O', 'PHYS', 'O', 'PHYS', 'O', 'O', 'O', 'O', 'O', 'O', 'ANAT', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
345_2_1,"['2' ')' ',' 'il' 'est' 'nécessaire' 'de' 'connaître' 'l' 'Les'
 'recommandations' 'posologiques' 'suivantes' 'sont' 'basées' 'sur' 'les'
 'résultats' 'd' 'Dans' 'tous' 'les' 'autres' 'cas' ',' 'les'
 'ajustements' 'posologiques' 'seront' 'basés' 'sur' 'la' 'créatininémie'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0],"2 ) , il est nécessaire de connaître l Les recommandations posologiques suivantes sont basées sur les résultats d Dans tous les autres cas , les ajustements posologiques seront basés sur la créatininémie .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROC', 'O']"
345_2_2,"['La' 'vitesse' 'de' 'perfusion' 'doit' 'être' 'réduite' 'selon' 'les'
 'indications' 'données' 'dans' 'le' 'tableau' '1' '.']",[0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0],La vitesse de perfusion doit être réduite selon les indications données dans le tableau 1 .,"['O', 'O', 'O', 'PROC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
345_2_3,"['Une' 'surveillance' 'plus' 'fréquente' 'du' 'TCA' 'est' 'obligatoire'
 '.']",[0 0 0 0 0 2 0 0 0],Une surveillance plus fréquente du TCA est obligatoire .,"['O', 'O', 'O', 'O', 'O', 'PROC', 'O', 'O', 'O']"
345_2_4,"['Reconstituer' 'la' 'solution' 'comme' 'il' 'est' 'indiqué' 'en'
 'rubrique' '6' '.']",[ 0  0 10  0  0  0  0  0  0  0  0],Reconstituer la solution comme il est indiqué en rubrique 6 .,"['O', 'O', 'OTHER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
345_2_5,['6' '.'],[0 0],6 .,"['O', 'O']"
345_2_6,"['Bolus' 'intraveineux' 'initial' ':' 'Le' 'bolus' 'intraveineux' 'est'
 'préparé' 'avec' 'une' 'solution' 'dosée' 'à' '5' 'mg' '/' 'ml' '.']",[ 2  2  0  0  0  2  2  0  0  0  0 10  0  0  0  0  0  0  0],Bolus intraveineux initial : Le bolus intraveineux est préparé avec une solution dosée à 5 mg / ml .,"['PROC', 'PROC', 'O', 'O', 'O', 'PROC', 'PROC', 'O', 'O', 'O', 'O', 'OTHER', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
345_2_7,"['pour' 'une' 'posologie' 'de' '0' ',' '2' 'mg' '/' 'kg' 'de' 'poids'
 'corporel' '4' 'La' 'perfusion' 'intraveineuse' 'est' 'préparée' 'avec'
 'une' 'solution' 'dosée' 'à' '2' 'mg' '/' 'ml' '.']","[ 0  0  0  0  0  0  0  0  0  0  0  6  6  0  0  2  2  0  0  0  0 10  0  0
  0  0  0  0  0]","pour une posologie de 0 , 2 mg / kg de poids corporel 4 La perfusion intraveineuse est préparée avec une solution dosée à 2 mg / ml .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PHYS', 'PHYS', 'O', 'O', 'PROC', 'PROC', 'O', 'O', 'O', 'O', 'OTHER', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
345_2_8,"['La' 'vitesse' '(' 'ml' '/' 'h' ')' 'de' 'la' 'seringue' 'électrique'
 'doit' 'être' 'réglée' 'en' 'fonction' 'du' 'poids' 'corporel' '.']",[0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 6 6 0],La vitesse ( ml / h ) de la seringue électrique doit être réglée en fonction du poids corporel .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OTHER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PHYS', 'PHYS', 'O']"
345_2_9,"['Débit' 'de' 'perfusion' '(' 'ml' '/' 'h' ')' 'pour' 'une' 'posologie'
 'de' 'Des' 'réactions' 'anaphylactiques' 'd' '’' 'évolution' 'fatale'
 'ont' 'été' 'rapportées' 'lors' 'd' '’' 'une' 'ré' '-' 'exposition' 'au'
 'Refludan' '.']",[0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0],Débit de perfusion ( ml / h ) pour une posologie de Des réactions anaphylactiques d ’ évolution fatale ont été rapportées lors d ’ une ré - exposition au Refludan .,"['O', 'O', 'PROC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'DISO', 'DISO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'CHEM', 'O']"
345_2_10,"['Aussi' ',' 'avant' 'toute' 'ré' '-' 'exposition' 'au' 'Refludan' ','
 'une' 'autre' 'alternative' 'thérapeutique' 'devra' 'avoir' 'été'
 'envisagée' 'et' 'discutée' '.']",[0 0 0 0 0 0 0 0 5 0 0 0 0 2 0 0 0 0 0 0 0],"Aussi , avant toute ré - exposition au Refludan , une autre alternative thérapeutique devra avoir été envisagée et discutée .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'CHEM', 'O', 'O', 'O', 'O', 'PROC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
345_2_11,"['Ces' 'réactions' 'étant' 'de' 'type' 'immunologique' ',' 'les'
 'patients' 'précédemment' 'traités' 'par' 'l' '’' 'hirudine' 'ou' 'un'
 'analogue' 'de' 'l' '’' 'hirudine' 'devront' 'être' 'considérés' 'comme'
 'des' 'patients' 'à' 'risque' '.']",[0 0 0 0 0 6 0 0 4 0 2 0 0 0 5 0 0 0 0 0 0 5 0 0 0 0 0 4 0 0 0],"Ces réactions étant de type immunologique , les patients précédemment traités par l ’ hirudine ou un analogue de l ’ hirudine devront être considérés comme des patients à risque .","['O', 'O', 'O', 'O', 'O', 'PHYS', 'O', 'O', 'LIVB', 'O', 'PROC', 'O', 'O', 'O', 'CHEM', 'O', 'O', 'O', 'O', 'O', 'O', 'CHEM', 'O', 'O', 'O', 'O', 'O', 'LIVB', 'O', 'O', 'O']"
345_2_12,"['Il' 'peut' 's' '’' 'avérer' 'nécessaire' 'd' '’' 'exclure' 'les'
 'insuffisants' 'rénaux' 'du' 'traitement' 'par' 'lépirudine' '.']",[0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 5 0],Il peut s ’ avérer nécessaire d ’ exclure les insuffisants rénaux du traitement par lépirudine .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'DISO', 'DISO', 'O', 'PROC', 'O', 'CHEM', 'O']"
345_2_13,"['Une' 'cirrhose' 'du' 'foie' 'peut' 'également' 'affecter' 'l' '’'
 'excrétion' 'rénale' 'de' 'la' 'lépirudine' '.']",[0 1 1 1 0 0 0 0 0 6 6 0 0 5 0],Une cirrhose du foie peut également affecter l ’ excrétion rénale de la lépirudine .,"['O', 'DISO', 'DISO', 'DISO', 'O', 'O', 'O', 'O', 'O', 'PHYS', 'PHYS', 'O', 'O', 'CHEM', 'O']"
345_2_14,"['La' 'tolérance' 'et' 'l' '’' 'efficacité' 'chez' 'l' '’' 'enfant' 'n'
 '’' 'ont' 'pas' 'été' 'démontrées' '.']",[0 6 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0],La tolérance et l ’ efficacité chez l ’ enfant n ’ ont pas été démontrées .,"['O', 'PHYS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LIVB', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
345_2_15,"['Patient' 'âgé' ':' 'Les' 'patients' 'd' '’' 'un' 'âge' 'avancé'
 'présentent' 'un' 'risque' 'accru' 'de' 'complications' 'hémorragiques'
 'avec' 'les' 'anticoagulants' '.']",[4 4 0 0 4 0 0 0 6 0 0 0 1 0 0 1 1 0 0 1 0],Patient âgé : Les patients d ’ un âge avancé présentent un risque accru de complications hémorragiques avec les anticoagulants .,"['LIVB', 'LIVB', 'O', 'O', 'LIVB', 'O', 'O', 'O', 'PHYS', 'O', 'O', 'O', 'DISO', 'O', 'O', 'DISO', 'DISO', 'O', 'O', 'DISO', 'O']"
345_2_16,"['Aucun' 'ajustement' 'spécifique' 'de' 'la' 'posologie' 'n' '’' 'est'
 'fait' 'chez' 'le' 'sujet' 'âgé' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 4 0 0],Aucun ajustement spécifique de la posologie n ’ est fait chez le sujet âgé .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LIVB', 'O', 'O']"
345_2_17,"['Ces' 'ajustements' 'sont' 'basés' 'sur' 'la' 'fonction' 'rénale' ','
 'le' 'poids' 'et' 'le' 'TCA' '(' 'voirrubrique' '4' '.']",[0 0 0 0 0 0 6 6 0 0 6 0 0 2 0 0 0 0],"Ces ajustements sont basés sur la fonction rénale , le poids et le TCA ( voirrubrique 4 .","['O', 'O', 'O', 'O', 'O', 'O', 'PHYS', 'PHYS', 'O', 'O', 'PHYS', 'O', 'O', 'PROC', 'O', 'O', 'O', 'O']"
345_2_18,['2' ')' '.'],[0 0 0],2 ) .,"['O', 'O', 'O']"
345_2_19,"['Un' 'traitement' 'concomittant' 'par' 'des' 'dérivés' 'coumariniques'
 '(' 'antivitamines' 'K' ')' 'ainsi' 'que' 'par' 'des' 'médicaments' 'qui'
 'affectent' 'la' 'fonction' 'plaquettaire' 'peuvent' 'également'
 'accroître' 'le' 'risque' 'de' 'saignement' '.']",[0 2 0 0 0 0 0 0 5 5 0 0 0 0 0 5 0 0 0 6 6 0 0 0 0 1 1 1 0],Un traitement concomittant par des dérivés coumariniques ( antivitamines K ) ainsi que par des médicaments qui affectent la fonction plaquettaire peuvent également accroître le risque de saignement .,"['O', 'PROC', 'O', 'O', 'O', 'O', 'O', 'O', 'CHEM', 'CHEM', 'O', 'O', 'O', 'O', 'O', 'CHEM', 'O', 'O', 'O', 'PHYS', 'PHYS', 'O', 'O', 'O', 'O', 'DISO', 'DISO', 'DISO', 'O']"
345_2_20,"['Par' 'conséquent' ',' 'Refludan' 'ne' 'doit' 'pas' 'être' 'administré'
 'à' 'la' 'femme' 'enceinte' 'ou' 'qui' 'allaite' '.']",[0 0 0 5 0 0 0 0 0 0 0 4 0 0 0 6 0],"Par conséquent , Refludan ne doit pas être administré à la femme enceinte ou qui allaite .","['O', 'O', 'O', 'CHEM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LIVB', 'O', 'O', 'O', 'PHYS', 'O']"
345_2_21,"['Les' 'cas' 'de' 'saignements' 'menaçant' 'le' 'pronostic' 'vital' '('
 'incluant' 'les' 'saignements' 'intracrâniens' ')' 'ont' 'été' 'peu'
 'fréquents' '(' 'Un' 'surdosage' 'est' 'susceptible' 'de' 'majorer' 'le'
 'risque' 'hémorragique' '.']",[0 0 0 1 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0],Les cas de saignements menaçant le pronostic vital ( incluant les saignements intracrâniens ) ont été peu fréquents ( Un surdosage est susceptible de majorer le risque hémorragique .,"['O', 'O', 'O', 'DISO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'DISO', 'ANAT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'DISO', 'O', 'O', 'O', 'O', 'O', 'DISO', 'DISO', 'O']"
345_2_22,"['Agent' 'antithrombotique' 'inhibiteur' 'direct' 'de' 'la' 'thrombine'
 ',' 'code' 'ATC' ':' 'La' 'lépirudine' '(' '[' 'Leu1' ',' 'Thr2' ']' '-'
 '63' '-' 'désulfohirudine' ')' 'est' 'une' 'hirudine' 'recombinante'
 'dérivée' 'de' 'cellules' 'de' 'levure' ')' '.']",[5 5 5 5 5 5 5 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 3 0 4 0 0],"Agent antithrombotique inhibiteur direct de la thrombine , code ATC : La lépirudine ( [ Leu1 , Thr2 ] - 63 - désulfohirudine ) est une hirudine recombinante dérivée de cellules de levure ) .","['CHEM', 'CHEM', 'CHEM', 'CHEM', 'CHEM', 'CHEM', 'CHEM', 'O', 'O', 'O', 'O', 'O', 'CHEM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'CHEM', 'O', 'O', 'O', 'ANAT', 'O', 'LIVB', 'O', 'O']"
345_2_23,"['Ce' 'polypeptide' ',' 'composé' 'de' '65' 'acides' 'aminés' ',' 'a' 'un'
 'poids' 'moléculaire' 'de' '6' '979' ',' '5' 'Daltons' '.']",[0 5 0 0 0 0 5 5 0 0 0 0 0 0 0 0 0 0 0 0],"Ce polypeptide , composé de 65 acides aminés , a un poids moléculaire de 6 979 , 5 Daltons .","['O', 'CHEM', 'O', 'O', 'O', 'O', 'CHEM', 'CHEM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
345_2_24,"['La' 'lépirudine' 'est' 'un' 'inhibiteur' 'direct' 'et' 'hautement'
 'spécifique' 'de' 'la' 'thrombine' '.']",[0 5 0 0 0 0 0 0 0 0 0 5 0],La lépirudine est un inhibiteur direct et hautement spécifique de la thrombine .,"['O', 'CHEM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'CHEM', 'O']"
345_2_25,['Son' 'activité' 'se' 'mesure' 'par' 'une' 'méthode' 'chromogénique' '.'],[0 0 0 0 0 0 2 2 0],Son activité se mesure par une méthode chromogénique .,"['O', 'O', 'O', 'O', 'O', 'O', 'PROC', 'PROC', 'O']"
345_2_26,"['De' 'ce' 'fait' ',' 'tous' 'les' 'tests' 'de' 'coagulation' 'thrombine'
 '-' 'dépendants' 'sont' 'modifiés' ';' 'par' 'exemple' ',' 'le' 'TCA' 's'
 'Les' 'informations' 'cliniques' 'à' 'propos' 'des' 'TIH' 'de' 'type'
 'II' 'présentées' 'dans' 'ce' 'RCP' 'reposent' 'sur' 'les' 'données' 'de'
 'deux' 'essais' 'cliniques' 'prospectifs' 'qui' 'ont' 'inclus' 'un'
 'total' 'de' '198' 'patients' 'atteints' 'de' 'TIH' 'de' 'type' 'II'
 'traités' 'par' 'Refludan' '.']","[0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0
 0 0 0 0 2 2 0 0 0 0 0 0 0 0 4 0 0 1 1 1 1 2 0 5 0]","De ce fait , tous les tests de coagulation thrombine - dépendants sont modifiés ; par exemple , le TCA s Les informations cliniques à propos des TIH de type II présentées dans ce RCP reposent sur les données de deux essais cliniques prospectifs qui ont inclus un total de 198 patients atteints de TIH de type II traités par Refludan .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PHYS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'DISO', 'DISO', 'DISO', 'DISO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PROC', 'PROC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LIVB', 'O', 'O', 'DISO', 'DISO', 'DISO', 'DISO', 'PROC', 'O', 'CHEM', 'O']"
345_2_27,"['Les' 'propriétés' 'pharmacocinétiques' 'de' 'la' 'lépirudine'
 'administrée' 'par' 'voie' 'intraveineuse' 'sont' 'bien' 'décrites' 'par'
 'un' 'modèle' 'bicompartimental' '.']",[0 0 0 0 0 5 2 0 0 0 0 0 0 0 0 0 0 0],Les propriétés pharmacocinétiques de la lépirudine administrée par voie intraveineuse sont bien décrites par un modèle bicompartimental .,"['O', 'O', 'O', 'O', 'O', 'CHEM', 'PROC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
345_2_28,"['Environ' '35' '%' 'de' 'la' 'dose' 'administrée' 'sont' 'excrétés'
 'sous' 'forme' 'inchangée' '.']",[0 0 0 0 0 0 2 0 6 0 0 0 0],Environ 35 % de la dose administrée sont excrétés sous forme inchangée .,"['O', 'O', 'O', 'O', 'O', 'O', 'PROC', 'O', 'PHYS', 'O', 'O', 'O', 'O']"
